event_id,origintime,magnitude,magnitude_source,max_mmi,latitude,longitude,depth_km,err_lat,err_lon,err_depth,err_origintime,state,county,status
5480,2019-02-05 05:18:05,1.5,OGS,None,36.30616667,-98.86883333,7.76,0.21,0.21,0.3,None,Oklahoma,Dewey,Reviewed
5481,2019-02-05 06:17:29,1.4,OGS,None,35.2745,-97.88933333,7.21,1.2,1.2,1.4,None,Oklahoma,Grady,Reviewed
5466,2019-02-05 06:25:57,2.4,OGS,None,35.2755,-97.8795,6.74,0.35,0.35,0.6,None,Oklahoma,Grady,Reviewed
5459,2019-02-05 08:45:15,1.7,OGS,None,37.30397415,-97.93979645,3.1,2.61,1.92,2.4,0.36523458,Kansas,Harper,Preliminary
5552,2019-02-05 09:22:39,2.2,OGS,None,35.83124542,-98.2435379,5.28,0.92,0.84,1.68,0.15292163,Oklahoma,Blaine,Reviewed
5554,2019-02-05 09:22:55,2.4,OGS,None,35.82384109,-98.24726868,3.56,1.53,1.01,1.74,0.33755181,Oklahoma,Blaine,Reviewed
5482,2019-02-05 11:47:46,0.9,OGS,None,35.24883333,-97.88033333,11.5,0.42,0.42,0.7,None,Oklahoma,Grady,Reviewed
5484,2019-02-05 17:09:35,2.2,OGS,None,36.21216667,-95.84583333,0.0,0.57,0.57,0.5,None,Oklahoma,Tulsa,Preliminary
5493,2019-02-05 22:19:35,2.5,OGS,None,34.95483333,-97.8425,7.28,0.35,0.35,0.7,None,Oklahoma,Grady,Reviewed
5539,2019-02-06 03:29:46,2.1,OGS,None,35.83333333,-98.24783333,4.54,0.28,0.28,0.9,None,Oklahoma,Blaine,Reviewed
5556,2019-02-06 08:09:56,1.6,OGS,None,36.47116667,-98.207,7.51,0.35,0.35,0.6,None,Oklahoma,Alfalfa,Reviewed
5530,2019-02-06 09:20:22,2.9,OGS,None,36.4515,-96.88183333,5.45,0.21,0.21,0.3,None,Oklahoma,Pawnee,Reviewed
5558,2019-02-06 09:35:56,1.4,OGS,None,36.41433333,-96.8915,4.4,0.21,0.21,0.5,None,Oklahoma,Pawnee,Reviewed
5551,2019-02-06 09:38:21,2.2,OGS,None,36.46483333,-98.7585,7.24,0.21,0.21,0.3,None,Oklahoma,Major,Reviewed
5560,2019-02-06 12:06:36,1.5,OGS,None,35.094,-97.92033333,6.99,0.99,0.99,2.0,None,Oklahoma,Grady,Reviewed
5563,2019-02-06 12:47:56,1.1,OGS,None,35.09366667,-97.91433333,10.78,0.78,0.78,2.4,None,Oklahoma,Grady,Reviewed
5562,2019-02-06 12:48:35,1.4,OGS,None,35.10483333,-97.923,6.43,0.92,0.92,2.1,None,Oklahoma,Grady,Reviewed
5524,2019-02-06 13:19:07,3.2,OGS,None,35.11826324,-97.8838501,4.1,0.91,0.89,1.26,0.16842936,Oklahoma,Grady,Reviewed
5527,2019-02-06 13:20:59,2.8,OGS,None,35.1225,-97.889,6.59,0.28,0.28,0.5,None,Oklahoma,Grady,Reviewed
5536,2019-02-06 13:32:42,2.3,OGS,None,35.83808517,-98.24084473,6.19,0.85,0.91,1.9,0.17163838,Oklahoma,Blaine,Reviewed
5564,2019-02-06 16:04:36,1.2,OGS,None,35.13016667,-97.91066667,7.93,0.78,0.78,1.4,None,Oklahoma,Grady,Reviewed
5542,2019-02-06 17:07:39,2.1,OGS,None,35.1195,-97.88916667,6.8,0.42,0.42,0.8,None,Oklahoma,Grady,Reviewed
5545,2019-02-06 17:22:14,1.3,OGS,None,36.454,-98.793,7.52,0.21,0.21,0.4,None,Oklahoma,Major,Reviewed
5575,2019-02-06 17:47:34,2.0,OGS,None,36.46833333,-96.79816667,0.0,0.49,0.49,0.5,None,Oklahoma,Pawnee,Preliminary
5548,2019-02-06 18:41:05,1.8,OGS,None,37.117,-97.80266667,8.35,0.35,0.35,0.8,None,Kansas,Sumner,Reviewed
5581,2019-02-07 12:47:50,2.1,OGS,None,36.44683333,-96.88966667,3.54,0.21,0.21,0.8,None,Oklahoma,Pawnee,Reviewed
5578,2019-02-07 15:54:12,3.6,OGS,None,36.79664612,-98.30251312,3.55,0.91,0.79,0.94,0.18677001,Oklahoma,Alfalfa,Reviewed
5604,2019-02-07 19:44:56,3.0,OGS,None,36.29787445,-97.01960754,3.64,0.66,0.73,0.82,0.16169585,Oklahoma,Payne,Reviewed
5601,2019-02-07 19:47:08,3.0,OGS,None,36.2965,-97.01766667,6.47,0.21,0.21,0.4,None,Oklahoma,Payne,Reviewed
5610,2019-02-08 03:19:25,1.7,OGS,None,36.44553375,-96.86901093,3.33,1.44,1.3,1.56,0.4852775,Oklahoma,Pawnee,Reviewed
5612,2019-02-08 05:03:31,1.4,OGS,None,35.5255,-97.10716667,6.81,0.42,0.42,0.6,None,Oklahoma,Oklahoma,Reviewed
